,Species,CAS,YSI,YSI(cv),YSI(cv_err)
56,1-nonene,124-11-8,52.8,44.9056510925293,6.0730485916137695
57,1-decene,872-05-9,69.0,55.395442962646484,6.303191184997559
58,cyclohexene,110-83-8,23.7,48.8168830871582,9.1108980178833
59,1-methylcyclopentene,693-89-0,102.7,63.667564392089844,11.138879776000977
60,cycloheptene,628-92-2,71.6,46.242435455322266,8.639507293701172
61,1-pentyne,627-19-0,26.2,14.264749526977539,5.160031795501709
62,2-pentyne,627-21-4,37.7,31.626977920532227,7.674017906188965
63,"2-methyl-1,5-hexadiene",4049-81-4,58.0,46.896305084228516,4.107048034667969
64,1-propanol,71-23-8,-22.0,-17.145902633666992,2.443613052368164
65,2-propanol,67-63-0,-17.3,-12.723560333251953,3.0588371753692627
66,1-butanol,71-36-3,-13.0,-11.196846008300781,1.9408154487609863
67,2-butanol,78-92-2,-8.6,-7.894514560699463,1.7794846296310425
68,(R)-2-butanol,14898-79-4,-8.1,-9.442723274230957,1.797853708267212
69,(S)-2-butanol,4221-99-2,-7.8,-6.7273783683776855,2.2916464805603027
70,2-methyl-1-propanol,78-83-1,-6.5,-7.2763800621032715,2.0669243335723877
71,tert-butanol,75-65-0,-4.5,-3.2482564449310303,4.169122695922852
72,1-pentanol,71-41-0,-7.7,-6.1469316482543945,3.2263572216033936
73,3-pentanol,584-02-1,-2.0,-3.540534257888794,2.8530566692352295
74,2-methyl-2-butanol,75-85-4,3.9,4.045816421508789,2.6533195972442627
75,3-methyl-1-butanol,123-51-3,2.4,3.7181923389434814,2.138364553451538
76,1-hexanol,111-27-3,-0.6,2.0491514205932617,3.5690975189208984
77,2-hexanol,626-93-7,5.8,6.832995414733887,2.0758323669433594
78,3-hexanol,623-37-0,5.5,2.7177209854125977,3.415907144546509
79,2-methyl-1-pentanol,105-30-6,8.4,6.628253936767578,2.7943499088287354
80,3-methyl-1-pentanol,589-35-5,9.2,9.808525085449219,2.2293968200683594
81,3-methyl-2-pentanol,565-60-6,11.4,13.000288009643555,2.2543694972991943
82,4-methyl-1-pentanol,626-89-1,8.1,8.707010269165039,3.165118932723999
83,4-methyl-2-pentanol,108-11-2,18.1,13.989490509033203,2.35333251953125
84,2-ethyl-1-butanol,97-95-0,17.6,9.212550163269043,2.333397626876831
85,"2,3-dimethyl-2-butanol",594-60-5,15.9,16.820331573486328,2.8652725219726562
86,"3,3-dimethyl-1-butanol",624-95-3,16.3,16.793140411376953,3.2300398349761963
87,"3,3-dimethyl-2-butanol",464-07-3,15.5,15.640371322631836,2.5793275833129883
88,cyclohexanol,108-93-0,18.5,18.830093383789062,5.288960933685303
89,1-heptanol,111-70-6,6.7,13.341056823730469,3.276216983795166
90,3-heptanol,589-82-2,12.6,11.114023208618164,3.1371471881866455
91,4-heptanol,589-55-9,12.6,12.650993347167969,2.8804919719696045
92,2-methyl-2-hexanol,625-23-0,17.8,13.529457092285156,2.208921194076538
93,3-ethyl-3-pentanol,597-49-9,15.7,15.352337837219238,3.7832558155059814
94,"2,2-dimethyl-3-pentanol",3970-62-5,24.2,20.136531829833984,3.0269997119903564
95,"2,4-dimethyl-3-pentanol",600-36-2,17.9,26.41980743408203,4.187177658081055
96,1-octanol,111-87-5,16.7,15.431794166564941,4.547634124755859
97,2-octanol,123-96-6,24.4,15.179461479187012,5.18104362487793
98,3-octanol,589-98-0,20.6,18.79269027709961,3.3134303092956543
99,4-octanol,589-62-8,20.8,22.207822799682617,3.5588691234588623
100,2-ethyl-1-hexanol,104-76-7,31.1,18.745969772338867,3.221402883529663
101,2-propyl-1-pentanol,58175-57-8,31.2,24.565223693847656,3.49100923538208
102,methyl  propyl  ether,557-17-5,-19.2,-17.475614547729492,2.925748348236084
103,diethyl  ether,60-29-7,-21.1,-19.034564971923828,3.4251248836517334
104,methyl  sec-butyl  ether,6795-87-5,-2.8,-6.882432460784912,2.50797700881958
105,methyl  tert-butyl  ether,1634-04-4,1.7,3.0474917888641357,3.4314093589782715
106,dipropyl  ether,111-43-3,-3.7,-3.9299204349517822,3.3214111328125
107,diisopropyl  ether,108-20-3,12.9,13.533020973205566,3.4572460651397705
108,tert-butyl  ethyl  ether,637-92-3,11.7,8.476097106933594,3.0748064517974854
109,methyl  cyclopentyl  ether,5614-37-9,49.6,20.147733688354492,4.78874397277832
110,dibutyl  ether,142-96-1,12.9,13.905344009399414,3.7746949195861816
111,sec-butyl  ether,6863-58-7,36.6,21.82806968688965,4.415871620178223
112,isoamyl  ether,544-01-4,51.6,43.36408615112305,8.623111724853516
113,2-butanone,78-93-3,-20.5,-17.651079177856445,2.769932746887207
114,2-pentanone,107-87-9,-14.4,-12.04539680480957,2.5575850009918213
115,3-pentanone,96-22-0,-14.4,-14.409867286682129,2.09074330329895
116,3-methyl-2-butanone,563-80-4,-5.9,-6.400973320007324,2.9414191246032715
117,2-hexanone,591-78-6,-7.4,-3.9156715869903564,3.193737030029297
118,3-hexanone,589-38-8,-7.6,-6.669999599456787,2.6675872802734375
119,2-methyl-3-pentanone,565-69-5,0.5,-0.7070227861404419,2.4704580307006836
120,3-methyl-2-pentanone,565-61-7,-2.1,0.8905419707298279,3.5376980304718018
121,4-methyl-2-pentanone,108-10-1,3.7,2.066122055053711,3.15437912940979
122,2-heptanone,110-43-0,0.0,5.073666095733643,3.9399046897888184
123,3-heptanone,106-35-4,0.5,3.1626274585723877,4.288588047027588
124,4-heptanone,123-19-3,-2.9,1.4552597999572754,4.4744343757629395
125,2-methyl-3-hexanone,7379-12-6,8.5,5.126885890960693,3.2921478748321533
126,"2,4-dimethyl-3-pentanone",565-80-0,18.9,11.994043350219727,3.507158041000366
127,"4,4-dimethyl-2-pentanone",590-50-1,19.2,19.267030715942383,4.703764915466309
128,2-octanone,111-13-7,11.7,12.70956802368164,3.9133565425872803
129,3-octanone,106-68-3,8.8,11.326394081115723,4.0301055908203125
130,5-methyl-3-heptanone,541-85-5,20.3,16.465503692626953,4.312385559082031
131,3-nonanone,925-78-0,19.6,15.289421081542969,6.43705940246582
132,5-nonanone,502-56-7,17.7,22.701923370361328,4.709735870361328
133,"2,6-dimethyl-4-heptanone",108-83-8,39.4,28.495037078857422,6.273750305175781
134,"2,2,4,4-tetramethyl-3-pentanone",815-24-7,55.0,45.86992645263672,7.216552257537842
135,isobutanal,78-84-2,-14.3,-12.539402961730957,3.3416900634765625
136,pentanal,110-62-3,-14.4,-8.462647438049316,2.0961484909057617
137,2-methylbutanal,96-17-3,-11.9,-7.0168890953063965,3.1190409660339355
138,3-methylbutanal,590-86-3,-3.8,-8.4012451171875,2.717700719833374
139,hexanal,66-25-1,-5.7,-1.8199642896652222,4.724979400634766
140,2-methylpentanal,123-15-9,-4.3,-0.33925092220306396,4.342182159423828
141,"3,3-dimethylbutanal",2987-16-8,12.4,5.6716718673706055,3.1800169944763184
142,heptanal,111-71-7,5.3,7.927535533905029,5.380472660064697
143,nonanal,124-19-6,20.7,16.636123657226562,5.232909679412842
144,"3,5,5-trimethylhexanal",5435-64-3,49.5,49.662841796875,6.998225212097168
145,decanal,112-31-2,34.8,27.514480590820312,5.0662713050842285
146,2-butylhexanal,18459-51-3,27.6,35.96920394897461,6.4167399406433105
147,tetrahydrofuran,109-99-9,-15.7,-9.322325706481934,7.842096328735352
148,"1,2-epoxybutane",106-88-7,-17.9,-5.971722602844238,5.488716125488281
149,2-methoxytetrahydropyran,6581-66-4,-12.9,2.181619167327881,9.145401954650879
150,ethyl  formate,109-94-4,-32.9,-26.564128875732422,3.475015163421631
151,methyl  acetate,79-20-9,-29.0,-30.415433883666992,4.945942401885986
152,propyl  formate,110-74-7,-15.7,-14.378284454345703,3.569298267364502
153,isopropyl  formate,625-55-8,-15.6,-12.662690162658691,3.0810306072235107
154,methyl  propionate,554-12-1,-23.9,-21.343507766723633,3.1328213214874268
155,butyric  acid,107-92-6,-19.0,-16.722522735595703,5.280913352966309
156,butyl  formate,592-84-7,1.0,-7.209067344665527,2.6988253593444824
157,isobutyl  formate,542-55-2,0.0,2.1819260120391846,3.3389039039611816
158,tert-butyl  formate,762-75-4,-0.6,-2.4170498847961426,4.36812162399292
159,propyl  acetate,109-60-4,-9.3,-11.645843505859375,3.0201656818389893
160,isopropyl  acetate,108-21-4,-10.4,-6.040399074554443,3.2372679710388184
161,methyl  butyrate,623-42-7,-18.2,-16.49859046936035,3.9128189086914062
162,pentyl  formate,638-49-3,8.3,-1.0345009565353394,3.664780855178833
163,isopentyl  formate,110-45-2,12.1,5.7657928466796875,2.965944766998291
164,sec-butyl  acetate,105-46-4,7.0,-1.300238013267517,4.372176647186279
165,tert-butyl  acetate,540-88-5,3.6,9.011119842529297,3.322356700897217
166,propyl  propionate,106-36-5,2.4,-7.636311054229736,3.6303658485412598
167,ethyl  isobutyrate,97-62-1,-6.6,-3.827746868133545,3.8772950172424316
168,methyl  pentanoate,624-24-8,-12.6,-4.4702982902526855,3.2048494815826416
169,methyl  2-methylbutyrate,868-57-5,-8.5,-4.469971179962158,3.0161292552948
170,methyl  trimethylacetate,598-98-1,0.7,3.5104682445526123,3.2029829025268555
171,2-ethylbutyric  acid,88-09-5,-7.0,-4.841485023498535,5.26224422454834
172,"2,2-dimethylbutyric  acid",595-37-9,-0.6,4.136743545532227,4.801743507385254
173,pentyl  acetate,628-63-7,15.6,1.9755915403366089,3.6157963275909424
174,isopentyl  acetate,123-92-2,20.6,9.998473167419434,3.336374282836914
175,isobutyl  propionate,540-42-1,16.7,9.623664855957031,4.263333320617676
176,isopropyl  butyrate,638-11-9,9.2,7.769491672515869,4.158935546875
177,ethyl  pentanoate,539-82-2,-3.0,1.6940542459487915,5.229793548583984
178,ethyl  isopentanoate,108-64-5,9.7,6.190323352813721,3.485673189163208
179,ethyl  2-methylbutyrate,7452-79-1,-1.6,4.363590240478516,4.737802982330322
180,methyl  hexanoate,106-70-7,-5.7,3.2995526790618896,4.350223541259766
181,methyl  heptanoate,106-73-0,3.3,13.107208251953125,4.223814487457275
182,methyl  octanoate,111-11-5,13.3,18.21981430053711,4.199788570404053
183,methyl-2-propenoate,96-33-3,-17.0,-15.196808815002441,4.815943241119385
184,methyl-2-pentenoate,15790-88-2,5.0,5.54179573059082,4.425137042999268
185,methyl-4-pentenoate,818-57-5,4.5,-2.644575595855713,5.047561168670654
186,methyl-2-methyl-2-butenoate,6622-76-0,11.8,4.241179943084717,3.0919997692108154
187,methyl-3-methyl-2-butenoate,924-50-5,9.4,11.528977394104004,6.608027935028076
188,ethyl-2-butenoate,623-70-1,-0.1,2.538877010345459,4.339921951293945
189,propyl-2-propenoate,925-60-0,-0.6,1.9773292541503906,5.171989917755127
190,methyl-2-hexenoate,13894-63-8,8.6,14.196207046508789,3.2717459201812744
191,methyl-3-hexenoate,2396-78-3,23.1,13.992013931274414,5.70089054107666
192,methyl-5-hexenoate,2396-80-7,13.7,9.607542991638184,5.081453800201416
193,methyl-2-methyl-2-pentenoate,1567-14-2,18.0,9.562324523925781,3.4876205921173096
194,ethyl-2-methyl-2-butenoate,5837-78-5,5.6,11.600783348083496,3.0675432682037354
195,ethyl-3-methyl-2-butenoate,638-10-8,14.2,19.831809997558594,4.250046730041504
196,propyl-2-methyl-2-propenoate,2210-28-8,10.5,8.039070129394531,4.888950347900391
197,dimethoxymethane,109-87-5,-30.3,-26.369569778442383,4.80266809463501
198,"1,1-dimethoxyethane",534-15-6,-25.1,-24.802919387817383,3.444060802459717
